ID;USD;EUR;JPY;GBP;CAD;CHF;INR;CNY;TRY;SAR;IDR;AED;THB;VND;EGP;KRW;RUB;ZAR;AUD
33675;347,6;270,5;46.641,70;203,5;414,7;526,4;9.727,10;1.920,90;2,1;1.310,40;710.053,80;1.283,30;8.951,90;3.981.126,20;1.210,30;270.221,50;0;1.008,40;461,4
33676;347,3;269,2;46.384,50;202,8;415,9;523,2;9.740,20;1.914,50;2,1;1.298,50;701.885,20;1.271,50;8.911,90;3.967.830,40;1.206,20;267.149,30;0;1.001,20;459,6
33679;343;265,9;45.936,60;199,9;411,5;518,4;9.677,20;1.887,80;2,1;1.281,40;689.249,10;1.254,90;8.793,40;3.922.084,20;1.135,70;262.808,40;0;989,9;453,9
33680;339;260,6;45.226,10;195,8;406,4;507,1;9.634,50;1.848,50;2,1;1.270,20;680.915,30;1.243,90;8.659,50;3.840.526,50;1.165,40;260.143,10;0;977,2;448
33681;340,3;261,1;44.931,40;196,4;405,7;508,2;9.689,50;1.854,50;2,1;1.276,20;688.147,80;1.249,70;8.691,70;3.853.030,00;1.170,70;262.556,50;0;976,1;446,2
33682;337,8;262,5;45.000,60;197,4;404;511,7;9.600,10;1.863,50;2,1;1.276,80;688.483,70;1.250,50;8.644,80;3.871.652,90;1.177,20;263.307,50;0;973,2;446,3
33683;338,8;264,3;45.414,90;198,5;404,5;516,7;9.670,60;1.874,50;2,1;1.271,30;686.469,90;1.245,00;8.646,20;3.894.492,00;1.127,70;262.567,60;0;978,9;445,8
33686;338,7;263;45.288,60;197,5;405;514,6;9.877,60;1.865,20;2,1;1.265,00;682.548,90;1.238,80;8.712,00;3.756.295,40;1.120,10;261.305,80;0;981,2;445,9
33687;338,4;261,9;45.251,20;196,7;403;512,5;9.858,90;1.857,60;2,1;1.265,40;683.742,60;1.239,20;8.652,80;3.740.954,90;1.143,10;260.238,60;0;978,3;445,1
33688;341,3;262,4;45.526,30;197,1;406;511,9;9.856,10;1.860,80;2,1;1.274,90;685.118,40;1.248,50;8.722,90;3.747.404,00;1.145,60;262.382,20;0;982,6;445,7
33689;340,4;263,2;45.600,80;197,6;405,6;515,8;9.855,30;1.865,90;2,1;1.281,40;691.978,20;1.254,80;8.754,60;3.757.599,60;1.149,40;264.924,00;0;984,2;446,4
33690;340,5;260,7;45.341,30;195,9;404,5;509,7;9.843,90;1.849,20;2,1;1.262,40;682.980,20;1.237,20;8.686,30;3.724.112,40;1.139,70;261.270,40;0;976,4;441,8
33693;343,3;264;45.799,80;198,3;408,4;517,5;9.896,20;1.889,70;2,1;1.293,70;697.453,90;1.267,00;8.783,20;3.820.531,50;1.142,00;267.160,20;0;987,3;448,9
33694;341,7;261,7;45.481,30;196,9;406,8;512,9;9.913,30;1.876,50;2,1;1.281,10;691.011,20;1.254,60;8.732,00;3.793.965,20;1.146,60;264.928,40;0;985,3;445
33695;344;264,8;46.192,60;199,5;410,3;519,8;9.946,90;1.901,80;2,2;1.294,50;700.503,90;1.267,70;8.803,50;3.844.977,80;1.161,60;268.375,90;0;991,1;448,3
33696;340,5;260,8;45.613,20;196,8;406,4;511,2;9.829,20;1.875,90;2,2;1.269,50;687.331,90;1.243,30;8.719,20;3.792.658,80;1.145,80;263.051,10;0;981,9;444,4
33697;340,6;258,2;45.419,80;195,4;405,5;508,4;9.836,10;1.861,90;2,1;1.271,80;682.209,80;1.245,50;8.683,50;3.764.395,20;1.137,30;261.921,00;0;975,6;443
33700;339,3;256,3;45.010,50;193,8;402,7;504,9;9.887,80;1.847,10;2,1;1.266,80;678.494,30;1.240,50;8.662,90;3.866.419,40;1.122,90;262.073,30;0;970,6;443,9
33701;338,8;256,3;45.127,90;193,7;402,6;505;9.758,70;1.846,00;2,1;1.266,00;678.075,40;1.239,80;8.653,70;3.864.032,30;1.126,70;262.875,10;0;968,5;443,3
33702;337,5;255,5;44.720,20;193;401;503,2;9.765,10;1.839,20;2,1;1.268,60;675.573,30;1.242,30;8.625,60;3.849.773,80;1.121,70;262.450,20;0;967,6;443,8
33703;338,5;255,3;44.737,10;191,6;402,5;502,9;9.786,60;1.826,10;2,1;1.251,30;678.226,80;1.226,30;8.554,70;3.822.364,30;1.124,40;260.883,40;0;963,8;439,4
